Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,293.1,183.4,488.3,645.5,"1,068",681.8,678.3,322.4,325,342.4,267.1
Short-Term Investments,-,-,-,-,100,50,6.6,-,114.2,157.9,201.2
Trading Asset Securities,1.9,10.7,12,14.8,6.4,7.6,10.1,-,-,-,-
Cash & Short-Term Investments,295,194.1,500.3,660.3,"1,175",739.4,695,322.4,439.2,500.3,468.3
Cash Growth,87.78%,-61.20%,-24.23%,-43.79%,58.86%,6.39%,115.57%,-26.59%,-12.21%,6.83%,-5.87%
Accounts Receivable,673.4,666.7,575.8,533.5,463,377.1,406.1,383.1,319.3,243.9,234.7
Other Receivables,93.3,34.5,45.9,61.8,-,-,-,-,-,-,-
Receivables,766.7,701.2,621.7,595.3,463,377.1,406.1,383.1,319.3,243.9,234.7
Inventory,"1,197","1,068",968.3,800.1,710.1,692.3,577.2,509.6,486.2,440.4,422
Prepaid Expenses,39.7,35.1,26.7,24.3,-,-,-,-,-,-,-
Other Current Assets,52.6,55,47.2,33.2,124.1,116.2,118,89.2,114.1,91.3,106.5
Total Current Assets,"2,351","2,053","2,164","2,113","2,472","1,925","1,796","1,304","1,359","1,276","1,232"
"Property, Plant & Equipment",746.7,814.8,691.4,538.2,466,462.9,371.7,270.6,266.5,239.1,231.1
Long-Term Investments,7.9,124.7,89.3,23,-,-,-,-,-,-,-
Goodwill,"1,550","1,507",582.6,457.6,339.5,320.4,293,275.7,169.8,130.6,130.6
Other Intangible Assets,918.9,912.5,330.5,270.9,211.8,229.1,233.2,218.7,82.4,69.7,74.7
Long-Term Accounts Receivable,-,4.3,1.9,0.5,-,-,-,-,-,-,-
Long-Term Deferred Tax Assets,-,286.2,297.2,76.8,90.1,72,60.5,50.9,57,76.5,53
Other Long-Term Assets,860.9,103.7,92.8,131.6,70.8,39.6,16.8,8.4,14,16.6,9.1
Total Assets,"6,435","5,807","4,250","3,612","3,650","3,049","2,772","2,129","1,949","1,808","1,730"
Accounts Payable,184.4,234.1,202.7,178.4,147.4,134.6,118.4,104.5,90.8,86.1,72.1
Accrued Expenses,-,299.9,259.4,210.8,214.4,197.6,178.3,187.8,177.4,148.7,175
Current Portion of Long-Term Debt,24.3,27.9,116.1,16.3,116.5,5.7,0.1,18.5,-,20.1,0.6
Current Portion of Leases,-,36.7,28.4,18.8,19.6,22.1,21,-,-,-,-
Current Income Taxes Payable,-,119.6,138.7,85.5,75.1,98,52.4,36.8,28.1,11.3,25.1
