Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,324","8,887","10,170","10,053","12,725","8,288","7,849","4,660","5,360","3,394","4,074"
Market Cap Growth,-28.61%,-12.62%,1.17%,-21.00%,53.55%,5.59%,68.42%,-13.05%,57.94%,-16.71%,23.48%
Enterprise Value,"8,078","11,210","11,058","10,588","12,919","8,582","8,167","4,639","5,419","3,324","3,921"
Last Close Price,41.62,58.39,72.98,67.68,82.83,53.32,50.03,29.11,33.39,20.49,23.33
PE Ratio,-,78.57,23.81,33.89,45.92,52.52,39.80,25.93,68.19,22.09,40.10
Forward PE,20.79,22.88,28.24,27.58,39.41,32.99,28.99,19.94,25.75,19.85,28.47
PS Ratio,1.84,2.64,3.43,3.97,5.26,4.17,3.79,2.46,3.04,2.11,2.51
PB Ratio,2.59,4.90,7.20,8.88,11.73,8.51,8.37,5.02,7.31,4.90,5.56
P/TBV Ratio,-,-,21.91,26.09,24.51,20.13,20.62,11.59,11.33,6.98,7.82
P/FCF Ratio,-,65.34,41.82,69.24,66.83,35.27,55.90,24.46,48.42,36.22,20.89
P/OCF Ratio,67.06,35.36,29.05,36.64,45.06,24.95,36.78,19.44,34.71,25.95,17.78
PEG Ratio,-,1.60,1.90,1.53,2.23,7.33,2.16,1.79,3.03,1.46,2.15
EV/Sales Ratio,2.35,3.33,3.73,4.18,5.34,4.32,3.94,2.45,3.07,2.06,2.42
EV/EBITDA Ratio,13.81,18.87,18.31,19.33,25.13,24.83,21.49,13.64,18.09,12.68,16.62
EV/EBIT Ratio,21.84,27.32,22.61,23.06,30.40,32.35,26.83,16.86,23.00,16.00,21.47
EV/FCF Ratio,-,82.43,45.47,72.92,67.85,36.52,58.17,24.35,48.96,35.48,20.11
Debt / Equity Ratio,0.82,1.24,0.98,1.13,1.31,1.00,0.96,0.37,0.57,0.59,0.36
Debt / EBITDA Ratio,3.50,3.45,2.14,2.22,2.61,2.63,2.19,1.00,1.39,1.57,1.13
Debt / FCF Ratio,-,16.51,5.67,8.83,7.45,4.15,6.40,1.79,3.75,4.39,1.36
Asset Turnover,0.55,0.67,0.75,0.70,0.72,0.68,0.85,0.93,0.94,0.91,0.90
Inventory Turnover,1.46,1.65,1.63,1.62,1.72,1.65,1.97,1.99,2.04,1.98,1.99
Quick Ratio,0.84,0.70,0.93,1.37,1.75,1.41,1.71,1.18,1.45,1.42,1.27
Current Ratio,1.85,1.60,1.80,2.31,2.63,2.43,2.78,2.18,2.59,2.43,2.22
Return on Equity (ROE),-1.09%,7.05%,33.67%,26.93%,27.26%,16.88%,21.22%,21.79%,11.26%,21.67%,13.94%
Return on Assets (ROA),3.69%,5.10%,7.78%,7.90%,7.93%,5.70%,7.76%,8.44%,7.84%,7.34%,6.35%
Return on Capital (ROIC),5.24%,7.48%,11.74%,11.67%,11.93%,8.76%,12.26%,14.23%,13.07%,12.35%,10.74%
Return on Capital Employed (ROCE),7.20%,9.10%,16.00%,17.00%,15.70%,11.80%,14.30%,18.00%,16.50%,16.20%,15.50%
Earnings Yield,-0.37%,1.27%,4.20%,2.95%,2.18%,1.90%,2.51%,3.86%,1.47%,4.53%,2.49%
FCF Yield,-0.17%,1.53%,2.39%,1.44%,1.50%,2.84%,1.79%,4.09%,2.07%,2.76%,4.79%
Dividend Yield,0.48%,0.34%,0.27%,0.29%,0.19%,0.30%,0.32%,0.55%,0.48%,0.78%,-
Payout Ratio,-,26.70%,6.88%,10.05%,8.73%,15.59%,12.68%,13.97%,32.32%,16.80%,-
Buyback Yield / Dilution,-2.43%,-1.56%,1.47%,2.29%,1.10%,1.28%,0.38%,1.19%,1.91%,4.08%,0.24%
Total Shareholder Return,-1.95%,-1.22%,1.75%,2.58%,1.29%,1.58%,0.70%,1.74%,2.39%,4.86%,0.24%
