Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,504","2,822","3,281","2,820","3,463","6,849","1,813","1,680","1,288",664,-
Market Cap Growth,132.08%,-13.98%,16.32%,-18.56%,-49.43%,277.78%,7.90%,30.44%,94.05%,-,-
Enterprise Value,"5,671","3,035","3,254","2,746","3,328","6,647","1,790","1,632","1,214",791,-
Last Close Price,170.82,90.17,107.04,93.67,117.69,237.21,68.09,69.48,56.05,30.00,-
PS Ratio,7.73,4.77,6.66,6.86,10.73,25.83,8.45,11.41,12.99,10.36,-
PB Ratio,45.13,31.04,15.62,11.76,12.39,20.05,13.39,32.23,16.19,7.17,-
P/TBV Ratio,45.47,31.34,15.68,11.80,12.43,20.10,13.47,32.77,16.37,7.24,-
P/OCF Ratio,74.49,832.49,-,-,-,-,-,-,-,-,-
EV/Sales Ratio,8.07,5.13,6.61,6.68,10.31,25.07,8.34,11.08,12.25,12.34,-
Debt / Equity Ratio,6.01,8.11,0.62,0.55,0.42,0.36,0.95,0.67,0.43,0.35,-19.35
Asset Turnover,0.74,0.87,1.12,0.90,0.66,0.65,1.01,1.18,0.73,0.73,1.28
Inventory Turnover,12.04,13.16,11.05,10.17,14.03,15.03,17.21,20.72,18.36,16.48,14.98
Quick Ratio,4.37,5.55,1.82,2.95,3.25,5.56,3.16,3.24,5.51,8.74,3.51
Current Ratio,4.63,5.82,2.15,3.24,3.48,5.75,3.32,3.44,5.72,8.98,3.74
Return on Equity (ROE),-53.15%,-75.27%,-54.86%,-44.73%,-32.64%,-18.38%,-58.19%,-76.51%,-34.56%,-45.95%,-802.08%
Return on Assets (ROA),-3.08%,-6.54%,-13.93%,-11.26%,-12.82%,-6.67%,-16.15%,-22.79%,-12.71%,-11.06%,-47.96%
Return on Capital (ROIC),-3.53%,-7.65%,-17.27%,-13.36%,-14.50%,-7.50%,-19.50%,-28.48%,-14.47%,-12.67%,-63.63%
Return on Capital Employed (ROCE),-5.50%,-8.70%,-30.10%,-22.90%,-26.60%,-9.80%,-21.50%,-52.40%,-24.60%,-12.50%,-74.30%
Earnings Yield,-0.94%,-4.01%,-3.76%,-4.12%,-2.93%,-0.64%,-3.01%,-3.00%,-2.31%,-3.15%,-
FCF Yield,0.59%,-1.08%,-2.76%,-1.87%,-1.90%,-0.40%,-2.33%,-2.04%,-1.43%,-2.93%,-
Buyback Yield / Dilution,-2.38%,-2.19%,-2.05%,-1.99%,-5.68%,-9.85%,-5.78%,-5.56%,-328.07%,-284.12%,-4.70%
