Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"3,759","1,059",217,122,404,"1,038",-,-
Market Cap Growth,457.26%,387.94%,77.57%,-69.73%,-61.10%,-,-,-
Enterprise Value,"4,139","1,383",371,253,373,"1,260",-,-
Last Close Price,13.00,4.86,1.09,1.48,7.52,20.84,-,-
PS Ratio,48.86,67.86,13.25,6.82,87.82,4740.25,-,-
PB Ratio,-,-1.82,-1.96,-0.92,12.45,8.60,-,-
P/TBV Ratio,-,-,-,-,14.51,8.62,-,-
EV/Sales Ratio,65.23,88.64,22.67,14.11,81.12,5753.34,-,-
Debt / Equity Ratio,-0.41,-0.55,-1.88,-1.37,3.50,0.01,-1.03,2.94
Asset Turnover,0.23,0.07,0.11,0.13,0.03,0.00,0.04,-
Inventory Turnover,4.80,3.96,4.45,8.46,7.05,-,-,-
Quick Ratio,0.85,1.43,1.48,0.34,3.65,9.00,0.06,0.49
Current Ratio,1.83,2.77,2.01,0.91,4.77,9.38,0.07,0.58
Return on Equity (ROE),-,-,-,-,-162.13%,-304.31%,-,-
Return on Assets (ROA),-51.08%,-46.46%,-62.13%,-97.12%,-42.41%,-30.91%,-107.29%,-
Return on Capital (ROIC),-,-,-124.29%,-137.79%,-48.63%,-37.61%,-439.65%,-
Earnings Yield,-52.51%,-64.76%,-105.74%,-188.02%,-30.76%,-6.80%,-,-
FCF Yield,-6.55%,-17.67%,-80.32%,-177.48%,-32.62%,-2.91%,-,-
Buyback Yield / Dilution,-20.04%,-67.00%,-103.34%,-18.56%,-459.73%,-139.39%,-,-
