Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,58.73,74.29,69.47,17.08,104.83,121.85,0.86,5.5
Cash & Short-Term Investments,58.73,74.29,69.47,17.08,104.83,121.85,0.86,5.5
Cash Growth,155.19%,6.94%,306.85%,-83.71%,-13.97%,14036.08%,-84.32%,-
Accounts Receivable,16.8,16.13,9.77,3.53,3.29,-,-,-
Other Receivables,12.25,2.28,10.76,0.26,1.02,0.43,4.39,0.68
Receivables,29.05,40.15,20.53,3.79,4.41,0.43,4.39,0.7
Inventory,47.55,32.83,17.07,23.26,12.98,0.21,-,0.8
Prepaid Expenses,2.38,0.94,1.08,2.29,2.6,2.27,0.48,0.36
Restricted Cash,36.95,14.07,3.44,2.73,0.86,-,-,-
Other Current Assets,14.08,17.64,10.74,6.01,16.9,2.59,0.25,-
Total Current Assets,188.74,179.91,122.33,55.15,142.57,127.37,5.98,7.36
"Property, Plant & Equipment",88.34,48.57,41.89,31.49,16.36,5.65,5.32,6.54
Long-Term Investments,-,-,-,-,-,3.74,0.59,-
Goodwill,4.33,4.33,4.33,4.33,4.33,-,-,-
Other Intangible Assets,1.08,0.24,0.3,0.24,0.28,0.32,0.36,0.4
Long-Term Accounts Receivable,-,0.96,1.94,1.61,0.35,-,-,-
Other Long-Term Assets,45.73,26.3,15.71,13.97,1.74,1.09,0.81,0.74
Total Assets,328.21,260.32,186.49,106.79,169.18,138.26,13.06,15.05
Accounts Payable,51.64,16.72,20.54,34.67,13.73,3.38,6.99,9.15
Accrued Expenses,20.07,12.21,22.78,8.96,5.56,4.09,0.07,0.05
Short-Term Debt,-,-,-,-,-,-,76.56,3.35
Current Portion of Long-Term Debt,0.73,2.01,3.33,5.56,6.57,0.92,-,-
Current Portion of Leases,2.2,1.92,1.6,1.14,1.09,-,0.01,0.06
Current Unearned Revenue,16.7,22.04,3.07,3.85,0.85,1.21,0.3,0.06
Other Current Liabilities,12.01,10.07,9.55,6.4,2.11,3.98,2.8,-
Total Current Liabilities,103.35,64.98,60.87,60.58,29.92,13.59,86.73,12.67
Long-Term Debt,447.72,314.88,200.53,170.27,102.64,0.43,-,-
Long-Term Leases,0.39,1.67,3.44,4.26,3.24,-,0.02,0.05
Long-Term Unearned Revenue,2.48,4.31,3.54,0.96,-,-,-,0.66
Other Long-Term Liabilities,871.27,456.24,28.92,3.44,0.93,3.47,0.66,0.49
Total Liabilities,"1,425",842.09,297.29,239.5,136.73,17.48,87.41,13.87
Common Stock,0.03,0.02,0.02,0.01,0.01,0.01,-,20.21
Additional Paid-In Capital,162.46,534.73,765.02,513.61,448.97,395.49,20.35,-
Retained Earnings,"-2,415","-1,562",-875.85,-646.34,-416.53,-292.31,-204.07,-124.59
Comprehensive Income & Other,-67.49,-43.5,0.01,0.01,-,17.6,-,-
Total Common Equity,"-2,320","-1,070",-110.8,-132.71,32.45,120.79,-183.72,-104.37
Shareholders' Equity,"-1,097",-581.77,-110.8,-132.71,32.45,120.79,-74.36,1.17
Total Liabilities & Equity,328.21,260.32,186.49,106.79,169.18,138.26,13.06,15.05
Total Debt,451.05,320.49,208.89,181.23,113.55,1.35,76.59,3.45
Net Cash (Debt),-392.31,-246.2,-139.42,-164.15,-8.72,120.5,-75.73,2.05
Net Cash Per Share,-1.64,-1.16,-1.10,-2.63,-0.17,12.81,-19.27,-
Filing Date Shares Outstanding,288.24,226.6,202.65,84.89,53.96,51.8,68.19,-
Total Common Shares Outstanding,281.69,221.79,199.13,82.65,53.79,48.94,68.19,-
Working Capital,85.38,114.94,61.46,-5.43,112.66,113.78,-80.75,-5.31
Book Value Per Share,-8.24,-4.83,-0.56,-1.61,0.60,2.47,-2.69,-
Tangible Book Value,"-2,326","-1,075",-115.43,-137.28,27.84,120.47,-184.08,-104.77
Tangible Book Value Per Share,-8.26,-4.85,-0.58,-1.66,0.52,2.46,-2.70,-
Machinery,69.48,64.2,29.71,32.45,17.35,7.79,6.19,10.53
Construction In Progress,38.39,-,17.96,-,-,-,-,0.05
Leasehold Improvements,12.09,9.67,7.72,6.3,2.93,2.73,2.73,3.13
