Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Revenue,63.46,15.61,16.38,17.92,4.6,0.22,0.5,-
Revenue Growth (YoY),324.10%,-4.71%,-8.63%,289.82%,1999.54%,-55.85%,-,-
Cost of Revenue,176.38,98.87,89.8,153.26,46.48,5.51,7.43,9.18
Gross Profit,-112.92,-83.26,-73.42,-135.34,-41.89,-5.29,-6.94,-9.18
"Selling, General & Admin",82.99,60.05,53.65,60.62,43,17.62,6.59,7.69
Research & Development,26.84,22.76,18.71,18.47,19.15,13.59,11.07,14.57
Other Operating Expenses,-,-,-,-0.02,0.27,0.91,-0.47,1.42
Operating Expenses,109.83,82.81,72.36,79.08,62.42,32.13,17.19,23.68
Operating Income,-222.75,-166.07,-145.78,-214.41,-104.31,-37.42,-24.12,-32.86
Interest Expense,-21.84,-28.22,-56.24,-18.81,-5.2,-23.82,-49.71,-0.14
Interest & Investment Income,-,-,-,-,-,-,0,0.03
Earnings From Equity Investments,-,-,-,-,0.44,0.13,-0.18,-
Other Non Operating Income (Expenses),-872.32,-584.73,-16.79,11.25,21.48,-0.05,3.34,4.48
EBT Excluding Unusual Items,"-1,117",-779.02,-218.81,-221.97,-87.59,-61.16,-70.66,-28.5
Gain (Loss) on Sale of Investments,-,-,-,-,-7.48,-,-,-
Asset Writedown,-6.96,-9.13,-7.16,-6.85,-0.05,-,-1.59,-
Other Unusual Items,6.56,102.3,-3.51,-0.94,-29.1,-9.48,-7.23,-
Pretax Income,"-1,117",-685.85,-229.48,-229.76,-124.22,-70.64,-79.48,-28.5
Income Tax Expense,0.02,0.02,0.03,0.05,-,-,-,-
Net Income,"-1,117",-685.87,-229.51,-229.81,-124.22,-70.64,-79.48,-28.5
Preferred Dividends & Other Adjustments,850.33,278.33,-,-,-,-,-,-
Net Income to Common,"-1,968",-964.2,-229.51,-229.81,-124.22,-70.64,-79.48,-28.5
Shares Outstanding (Basic),238,212,127,62,53,9,4,-
Shares Outstanding (Diluted),238,212,127,62,53,9,4,-
Shares Change (YoY),20.04%,67.00%,103.34%,18.56%,459.73%,139.39%,-,-
EPS (Basic),-8.25,-4.55,-1.81,-3.68,-2.36,-7.51,-20.22,-
EPS (Diluted),-8.25,-4.55,-1.81,-3.68,-2.36,-7.51,-20.22,-
Free Cash Flow,-245.51,-187.09,-174.34,-216.93,-131.74,-30.16,-26.13,-26.62
Free Cash Flow Per Share,-1.03,-0.88,-1.37,-3.47,-2.50,-3.21,-6.65,-
Operating Margin,-351.01%,-1064.12%,-890.08%,-1196.23%,-2268.51%,-17085.39%,-4863.11%,-
Profit Margin,-3100.71%,-6178.39%,-1401.31%,-1282.15%,-2701.52%,-32257.08%,-16024.80%,-
Free Cash Flow Margin,-386.89%,-1198.82%,-1064.48%,-1210.27%,-2865.07%,-13773.52%,-5268.75%,-
EBITDA,-211.18,-158.22,-136.07,-207.6,-101.69,-35.86,-22,-30.44
D&A For EBITDA,11.56,7.85,9.71,6.81,2.61,1.56,2.12,2.42
EBIT,-222.75,-166.07,-145.78,-214.41,-104.31,-37.42,-24.12,-32.86
