Period Ending,"Nov '25Nov 14, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Market Capitalization,"4,675","2,603","2,015","1,680","1,306",991,787,914,717,715,470
Market Cap Growth,60.72%,29.16%,19.93%,28.68%,31.79%,25.93%,-13.87%,27.36%,0.27%,52.33%,43.61%
Last Close Price,89.61,54.59,43.08,36.86,29.29,22.74,18.25,21.48,17.03,17.27,10.97
PE Ratio,15.29,10.34,8.75,8.36,11.58,5.98,9.41,16.73,113.86,13.32,8.63
PS Ratio,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.05,0.01
PB Ratio,2.22,1.52,1.46,1.57,1.45,1.29,1.32,1.81,1.59,1.65,1.18
P/FCF Ratio,4.72,5.89,-,-,0.63,0.51,4.28,-,0.70,-,16.31
P/OCF Ratio,4.45,5.14,-,-,0.62,0.51,4.02,-,0.69,-,12.39
Debt / Equity Ratio,8.45,6.75,4.91,5.36,8.59,7.40,7.85,5.47,4.56,3.70,2.89
Debt / FCF Ratio,16.89,26.13,-,-,3.77,2.94,25.38,-,2.01,-,39.88
Asset Turnover,4.30,4.00,2.87,3.40,2.63,4.62,3.69,3.92,4.82,2.67,8.55
Quick Ratio,1.05,1.05,1.06,1.06,1.05,1.08,1.06,1.07,1.07,1.06,1.07
Current Ratio,1.07,1.08,1.08,1.09,1.08,1.11,1.09,1.10,1.09,1.08,1.07
Return on Equity (ROE),16.56%,16.89%,19.48%,20.98%,13.92%,24.91%,15.48%,11.62%,1.45%,13.17%,15.00%
Return on Assets (ROA),0.99%,1.06%,1.14%,1.07%,0.72%,1.45%,0.96%,0.79%,0.10%,0.99%,1.37%
Earnings Yield,6.14%,10.02%,11.83%,12.32%,8.91%,17.12%,10.81%,6.08%,0.89%,7.65%,11.86%
FCF Yield,21.17%,16.97%,-3.50%,-16.60%,157.79%,195.18%,23.35%,-53.21%,142.38%,-6.04%,6.13%
Buyback Yield / Dilution,-4.04%,-2.25%,-2.75%,-1.98%,-2.60%,-0.87%,-0.42%,-1.32%,-0.33%,1.62%,1.05%
