Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,923","2,240","1,288","1,413","2,307","3,438",433,188,92,355,730
Market Cap Growth,9.19%,73.96%,-8.85%,-38.76%,-32.91%,694.02%,129.77%,105.40%,-74.15%,-51.39%,22.92%
Enterprise Value,"2,065","2,471","1,657","1,968","2,913","3,380",371,92,-47,162,622
Last Close Price,13.36,15.92,9.34,10.59,17.50,30.71,8.16,3.73,1.87,7.42,16.45
PE Ratio,35.52,98.30,-,-,35488.08,-,-,-,-,-,1729.93
Forward PE,13.28,18.34,15.13,14.46,23.95,-,-,-,-,14.62,25.39
PS Ratio,2.70,3.35,2.08,2.45,4.93,15.51,2.77,1.51,0.59,1.28,2.94
PB Ratio,2.38,2.92,1.84,1.79,2.62,9.01,3.87,1.60,0.56,1.19,2.63
P/TBV Ratio,-,-,-,-,-,29.28,5.61,2.02,0.66,1.69,4.94
P/FCF Ratio,11.07,11.07,6.86,8.73,21.18,-,21.06,-,-,9.69,12.86
P/OCF Ratio,8.64,9.52,6.01,7.34,18.22,-,13.54,-,4.26,5.90,9.50
PEG Ratio,0.47,-,-,-,-,-,-,-,-,-,0.69
EV/Sales Ratio,2.94,3.70,2.67,3.41,6.22,15.25,2.37,0.74,-,0.58,2.50
EV/EBITDA Ratio,15.87,25.32,20.98,20.06,30.66,792.28,-,-,-,6.02,44.36
EV/EBIT Ratio,24.05,48.37,-,-,-,-,-,-,-,85.47,-
EV/FCF Ratio,11.90,12.21,8.83,12.17,26.75,-,18.07,-,-,4.41,10.96
Debt / Equity Ratio,0.77,0.79,0.87,1.03,0.92,0.11,0.20,-,-,-,-
Debt / EBITDA Ratio,4.16,5.35,6.18,7.00,6.38,1.92,2.25,-,-,-,-
Debt / FCF Ratio,3.60,3.01,3.23,5.03,7.43,-,1.10,-,-,-,-
Asset Turnover,0.25,0.24,0.23,0.21,0.26,0.33,0.41,0.34,0.34,0.53,0.60
Quick Ratio,0.99,1.13,1.07,1.16,1.13,1.13,1.15,1.22,1.36,1.75,1.43
Current Ratio,1.01,1.14,1.09,1.18,1.14,1.16,1.17,1.25,1.40,1.79,1.46
Return on Equity (ROE),7.56%,3.10%,-21.32%,-15.59%,0.01%,-21.65%,-22.16%,-43.75%,-66.70%,-6.25%,0.21%
Return on Assets (ROA),1.90%,1.15%,-3.42%,-2.43%,-1.47%,-3.44%,-4.23%,-10.11%,-7.73%,0.22%,-0.60%
Return on Capital (ROIC),3.86%,2.38%,-6.33%,-4.00%,-2.54%,-8.21%,-12.65%,-26.61%,-15.05%,0.41%,-1.23%
Return on Capital Employed (ROCE),7.10%,3.80%,-11.50%,-6.60%,-2.50%,-8.80%,-20.00%,-50.50%,-33.60%,0.60%,-1.40%
Earnings Yield,3.02%,1.02%,-12.36%,-9.23%,0.00%,-1.55%,-5.88%,-32.80%,-168.70%,-5.09%,0.06%
FCF Yield,9.03%,9.04%,14.57%,11.45%,4.72%,-0.77%,4.75%,-18.10%,-11.88%,10.32%,7.77%
Buyback Yield / Dilution,-10.42%,-7.46%,-2.81%,2.48%,-40.91%,-83.79%,-4.69%,-2.84%,-4.75%,-4.85%,-57.69%
