Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,831","2,909","2,406","1,747","1,874","1,921","2,256","1,183","1,021",630,398
Market Cap Growth,-9.28%,20.88%,37.76%,-6.76%,-2.47%,-14.83%,90.59%,15.96%,62.04%,58.37%,-25.36%
Enterprise Value,"3,156","3,202","2,641","2,031","2,174","2,125","2,367","1,312","1,144",730,265
PE Ratio,7.69,8.08,7.47,5.96,8.11,11.20,13.12,10.97,46.28,9.84,-
PS Ratio,4.14,4.47,4.16,3.34,3.86,4.43,5.96,4.30,5.59,5.09,7.42
PB Ratio,1.12,1.31,1.25,1.08,1.20,1.40,2.42,1.69,2.01,1.33,0.99
P/FCF Ratio,7.39,7.52,7.22,5.77,5.98,7.99,11.38,8.59,17.22,10.42,11.26
P/OCF Ratio,7.27,7.39,7.02,5.57,5.75,7.61,10.84,8.11,15.06,8.75,9.59
EV/Sales Ratio,4.56,4.92,4.56,3.88,4.48,4.91,6.25,4.77,6.26,5.89,4.94
EV/EBITDA Ratio,5.96,6.25,5.79,4.83,6.34,8.52,9.59,8.19,14.84,21.55,-
EV/EBIT Ratio,6.09,6.40,5.94,4.97,6.55,8.87,9.97,8.62,16.24,25.87,-
EV/FCF Ratio,8.16,8.28,7.92,6.71,6.94,8.84,11.94,9.52,19.30,12.06,7.50
Debt / Equity Ratio,0.17,0.19,0.21,0.25,0.25,0.29,0.17,0.21,0.28,0.30,0.36
Debt / EBITDA Ratio,0.80,0.83,0.89,0.97,1.15,1.58,0.62,0.92,1.87,4.26,-
Debt / FCF Ratio,1.10,1.10,1.23,1.35,1.27,1.66,0.77,1.07,2.43,2.39,4.07
Quick Ratio,1.03,0.68,0.65,0.95,0.45,0.61,0.60,0.52,0.28,0.57,0.73
Current Ratio,2.22,1.85,1.59,1.59,0.84,0.77,0.76,0.71,0.49,0.77,0.77
Asset Turnover,0.20,0.21,0.21,0.21,0.21,0.25,0.31,0.28,0.21,0.17,0.10
Return on Equity (ROE),16.17%,17.38%,18.20%,18.42%,15.75%,14.92%,21.07%,17.83%,4.48%,14.57%,-6.70%
Return on Assets (ROA),9.19%,9.94%,10.19%,10.28%,8.98%,8.48%,12.08%,9.58%,5.08%,2.35%,-3.07%
Return on Capital (ROIC),11.64%,12.56%,12.77%,12.81%,11.11%,10.50%,15.36%,12.68%,6.92%,3.02%,-3.55%
Earnings Yield,13.31%,12.38%,13.38%,16.77%,12.34%,8.93%,7.62%,9.12%,2.16%,10.16%,-6.99%
FCF Yield,13.52%,13.29%,13.85%,17.34%,16.73%,12.52%,8.79%,11.64%,5.81%,9.60%,8.88%
Buyback Yield / Dilution,2.62%,3.08%,2.49%,1.02%,-9.62%,-13.69%,-3.06%,-8.79%,-2.23%,-3.66%,-0.69%
