Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,14.76,9,10.96,7.39,6.39,24.94,3.05,8.96,9.19,2.35,9.3
Trading Asset Securities,1.15,6.99,9.15,-,-,-,-,-,-,-,-
Cash & Short-Term Investments,15.91,15.99,20.1,7.39,6.39,24.94,3.05,8.96,9.19,2.35,9.3
Cash Growth,10.04%,-20.46%,172.03%,15.60%,-74.36%,718.95%,-66.01%,-2.47%,290.52%,-74.72%,-
Accounts Receivable,403.68,430.38,451.13,409.77,351.29,330.94,247.6,206.62,94.82,71.43,80.15
Other Receivables,-,-,-,-,-,-,1.21,-,2.86,29.99,30.39
Receivables,403.68,430.38,451.13,409.77,351.29,330.94,248.81,206.62,97.68,101.43,110.55
Inventory,43.45,47.47,47.41,41.03,29.8,23.73,15.39,16.22,10.08,8.94,10.69
Prepaid Expenses,56.14,60.76,48.35,31.64,34.94,29.95,13.41,9.2,4.83,4.86,7.08
Other Current Assets,1.16,2.9,2.11,31.22,60.63,12,11.94,15.35,6,19.93,6.09
Total Current Assets,520.35,557.51,569.1,521.04,483.04,421.57,292.59,256.35,127.78,137.51,143.71
"Property, Plant & Equipment",666.61,629.83,586.53,524.06,476.93,535.74,294.39,183.75,83.67,84.23,97.72
Long-Term Investments,-,6.67,-,-,-,-,-,-,-,-,-
Goodwill,"1,257","1,201","1,177","1,011","1,014","1,171",235.18,247.02,28.61,56.81,61.78
Other Intangible Assets,235.26,251.16,419.71,419.13,442.88,495.95,126.63,131.8,126.26,125,157.72
Long-Term Deferred Charges,-,-,-,2.5,6.2,7.9,2.1,2,1.8,-,-
Other Long-Term Assets,"3,425","3,388","3,386","3,349","3,351","2,940","1,947","1,932","1,043","1,039","1,055"
Total Assets,"6,105","6,035","6,138","5,828","5,774","5,572","2,898","2,752","1,411","1,699","1,786"
Accounts Payable,108.8,96.6,86.12,109.35,102.56,106.93,109.93,90.35,57.05,33.08,54.59
Accrued Expenses,203.42,146.65,175.19,164.95,151.76,130.05,92.79,101.85,50.38,70.86,62.75
Current Portion of Long-Term Debt,0.53,-,-,-,5.26,11.62,5.35,3.67,1.88,1.89,14.8
Current Portion of Leases,98.77,90.98,76.19,63.82,60.37,64.58,29.13,-,-,-,-
Current Income Taxes Payable,-,-,-,-,-,-,-,-,-,-,0.22
Current Unearned Revenue,248.3,248.99,222.52,195.79,150.14,133.19,81.3,68.4,37.04,28.7,54.88
Other Current Liabilities,-,1.8,2,28.03,47.55,2.3,1.91,4.76,9.38,38.13,3.77
Total Current Liabilities,659.82,585.01,562.02,561.94,517.65,448.67,320.41,269.02,155.73,172.66,191.02
Long-Term Debt,"3,467","3,564","3,445","3,002","2,623","2,398","1,642","1,643",586.13,"1,333","1,368"
Long-Term Leases,348.92,320.07,286.15,230.66,218.17,245.11,118.43,37.98,38.74,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,12.34,7.72,4.85,-,58.21
Pension & Post-Retirement Benefits,-,-,-,-,-,-,-,-,-,-,0.15
Long-Term Deferred Tax Liabilities,526.88,505.91,554.27,401.45,305.67,307.54,70.69,67.38,120.87,118.17,96.43
Other Long-Term Liabilities,42.39,41.02,29.43,66.3,111.96,109.25,179.04,25.43,19.89,52.56,17.03
Total Liabilities,"5,045","5,016","4,877","4,262","3,777","3,508","2,342","2,050",926.19,"1,676","1,730"
Common Stock,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0,-
Additional Paid-In Capital,"1,745","1,836","2,089","2,887","3,617","3,852","2,379","2,390","2,122","1,569","1,569"
Retained Earnings,-612.64,-746.96,-775.09,"-1,252","-1,591","-1,751","-1,825","-1,683","-1,637","-1,489","-1,458"
Comprehensive Income & Other,-72.78,-70.63,-52.77,-70.12,-29.07,-37.21,-62.78,-68.03,-49.5,-56.93,-55.65
Total Common Equity,"1,060","1,019","1,261","1,565","1,997","2,064",490.61,638.22,435.62,23.13,55.35
Minority Interest,-,-,-,-,-,-,64.59,63.98,48.93,-,-
Shareholders' Equity,"1,060","1,019","1,261","1,565","1,997","2,064",555.2,702.2,484.55,23.13,55.35
Total Liabilities & Equity,"6,105","6,035","6,138","5,828","5,774","5,572","2,898","2,752","1,411","1,699","1,786"
Total Debt,"3,915","3,975","3,807","3,296","2,907","2,719","1,794","1,684",626.75,"1,335","1,382"
Net Cash (Debt),"-3,899","-3,959","-3,787","-3,289","-2,901","-2,694","-1,791","-1,675",-617.56,"-1,332","-1,373"
Net Cash Per Share,-20.95,-20.81,-18.76,-14.86,-12.46,-15.20,-16.48,-18.84,-31.25,-91.61,-94.39
Filing Date Shares Outstanding,181.95,183.58,189.97,205.79,223.28,226.83,110.32,108.51,84.64,14.55,-
Total Common Shares Outstanding,181.94,183.56,189.97,207.95,223.94,229.04,108.82,108.51,84.64,14.55,-
Working Capital,-139.47,-27.5,7.08,-40.9,-34.61,-27.1,-27.82,-12.68,-27.95,-35.15,-47.3
Book Value Per Share,5.83,5.55,6.64,7.53,8.92,9.01,4.51,5.88,5.15,1.59,-
Tangible Book Value,-432.2,-433.92,-335.09,134.75,540.29,396.71,128.81,259.4,280.75,-158.68,-164.15
Tangible Book Value Per Share,-2.38,-2.36,-1.76,0.65,2.41,1.73,1.18,2.39,3.32,-10.91,-
Land,-,184.48,178.12,174.32,154.27,154.21,139.86,185.87,89.94,-,-
Buildings,-,-,-,-,-,-,-,-,-,87.08,92.75
Machinery,-,392.21,343.25,274.08,212.39,247.81,62.17,58.48,47.88,47.23,50.61
