Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,791","6,180","8,528","9,436","9,114","5,285","2,011",945,"1,075",-,-
Market Cap Growth,-61.15%,-27.53%,-9.62%,3.53%,72.46%,162.81%,112.82%,-12.11%,-,-,-
Enterprise Value,"6,857","10,066","12,234","12,596","11,961","8,033","3,798","2,655","2,533",-,-
Last Close Price,16.26,33.19,44.15,44.82,40.52,22.99,18.35,9.35,12.60,-,-
PE Ratio,12.84,219.71,17.90,27.79,56.91,71.29,-,-,-,-,-
Forward PE,14.01,19.29,20.70,27.29,36.73,31.35,33.02,77.79,-,-,-
PS Ratio,1.28,2.58,3.61,4.40,5.45,4.15,1.89,1.26,2.41,-,-
PB Ratio,2.79,6.07,6.76,6.03,4.56,2.56,3.62,1.35,2.22,-,-
P/TBV Ratio,-,-,-,70.03,16.87,13.32,15.61,3.64,3.83,-,-
P/FCF Ratio,5.71,18.94,15.14,28.72,31.85,34.11,1646.86,-,-,-,-
P/OCF Ratio,3.78,11.00,11.20,12.67,16.88,17.34,11.65,25.43,-,-,-
PEG Ratio,3.54,1.79,0.93,0.85,1.16,1.12,2.20,5.19,-,-,-
EV/Sales Ratio,2.96,4.20,5.17,5.88,7.15,6.31,3.57,3.53,5.68,-,-
EV/EBITDA Ratio,11.22,14.55,16.69,22.54,32.55,27.34,23.95,36.67,169.28,-,-
EV/EBIT Ratio,13.29,16.53,18.53,25.37,39.47,33.60,26.40,46.28,401.42,-,-
EV/FCF Ratio,13.24,30.84,21.72,38.34,41.81,51.85,3110.60,-,-,-,-
Debt / Equity Ratio,3.69,3.90,3.02,2.11,1.46,1.32,3.23,2.40,1.29,57.71,24.97
Debt / EBITDA Ratio,5.32,4.87,4.53,4.93,6.31,7.09,8.94,23.27,41.89,37.40,61.72
Debt / FCF Ratio,7.56,12.18,6.76,10.03,10.16,17.55,1469.65,-,-,95.78,-
Asset Turnover,0.38,0.39,0.40,0.37,0.30,0.30,0.38,0.36,0.29,0.25,-
Inventory Turnover,22.99,23.06,23.31,28.44,30.95,33.98,41.16,35.14,29.48,26.33,-
Quick Ratio,0.64,0.76,0.84,0.74,0.69,0.79,0.79,0.80,0.69,0.60,0.63
Current Ratio,0.79,0.95,1.01,0.93,0.93,0.94,0.91,0.95,0.82,0.80,0.75
Return on Equity (ROE),21.15%,2.47%,24.19%,15.52%,5.66%,4.55%,-19.27%,-5.01%,-64.79%,-160.88%,-
Return on Assets (ROA),5.31%,6.25%,6.90%,5.35%,3.34%,3.53%,3.18%,1.72%,0.25%,0.96%,-
Return on Capital (ROIC),6.49%,7.57%,8.31%,6.36%,3.91%,4.19%,3.80%,2.05%,0.32%,1.19%,-
Return on Capital Employed (ROCE),9.50%,11.20%,11.80%,9.40%,5.80%,4.70%,5.60%,2.30%,0.50%,1.70%,0.00%
Earnings Yield,7.56%,0.46%,5.59%,3.60%,1.76%,1.40%,-6.00%,-2.67%,-13.74%,-,-
FCF Yield,17.51%,5.28%,6.61%,3.48%,3.14%,2.93%,0.06%,-10.33%,-8.32%,-,-
Buyback Yield / Dilution,2.30%,5.73%,8.83%,4.90%,-31.32%,-63.10%,-22.18%,-350.15%,-35.85%,-,-
