Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,49.89,49.72,41.76,22.89,32.01,4.79,6.41
Short-Term Investments,41.85,40.57,114.18,169.07,8.23,17.67,25.31
Cash & Short-Term Investments,91.74,90.29,155.94,191.96,40.24,22.46,31.71
Cash Growth,22.07%,-42.10%,-18.77%,377.10%,79.18%,-29.19%,-
Prepaid Expenses,25.95,16.13,7.96,11.59,4.44,4.06,1.46
Restricted Cash,-,-,-,-,-,0.08,-
Other Current Assets,268.29,175.86,112.99,105.01,55.53,42.75,29.04
Total Current Assets,385.97,282.27,276.89,308.57,100.2,69.35,62.22
"Property, Plant & Equipment",0.8,1.21,1.89,1.76,3.39,1.89,2.18
Other Intangible Assets,13.94,13.64,13.21,10.16,7.85,4.51,2.09
Long-Term Deferred Charges,0.04,0.16,0.32,0.08,0.13,-,-
Other Long-Term Assets,2.23,2.04,1.72,0.93,35.62,0.65,0.6
Total Assets,433.25,299.33,294.02,321.49,147.19,76.41,67.09
Accounts Payable,7.84,6.77,5.49,11.42,13.04,8.49,6.5
Accrued Expenses,12.24,11.22,9.58,7.9,5.91,1.96,0.86
Short-Term Debt,-,-,-,-,35.05,3.91,-
Current Portion of Long-Term Debt,-,-,-,-,0.7,-,-
Current Portion of Leases,0.14,0.35,0.3,0.27,1.92,0.4,0.37
Current Income Taxes Payable,2.86,1.48,-,-,-,-,0.51
Other Current Liabilities,21.32,15.25,10.24,16.83,12.02,9.42,1.33
Total Current Liabilities,44.39,35.06,25.6,36.42,68.63,24.18,9.58
Long-Term Debt,75,75,180.45,177.33,35,0.7,0.7
Long-Term Leases,0.16,0.2,0.54,0.55,0.97,1.09,1.49
Other Long-Term Liabilities,22.39,5.96,0.36,0.64,3.85,0.6,0.04
Total Liabilities,141.94,116.23,206.96,214.93,108.45,26.56,11.8
Common Stock,0,0,0,0,0,0.03,0
Additional Paid-In Capital,345.77,335.33,296.73,270.04,86.83,77.63,3.71
Retained Earnings,-22.52,-152.45,-210.32,-161.8,-32.9,-12.9,-5.95
Treasury Stock,-32.21,-,-,-,-0.01,-0.15,-0.15
Comprehensive Income & Other,0.28,0.22,0.65,-1.68,-15.19,-14.76,-14.49
Total Common Equity,291.31,183.1,87.06,106.56,38.74,49.84,-16.88
Shareholders' Equity,291.31,183.1,87.06,106.56,38.74,49.84,55.29
Total Liabilities & Equity,433.25,299.33,294.02,321.49,147.19,76.41,67.09
Total Debt,75.3,75.55,181.29,178.15,73.64,6.09,2.55
Net Cash (Debt),16.44,14.73,-25.36,13.82,-33.4,16.36,29.16
Net Cash Growth,-,-,-,-,-,-43.89%,-
Net Cash Per Share,1.13,1.07,-2.12,1.19,-7.83,4.25,3.77
Filing Date Shares Outstanding,13.5,13.09,12.19,11.85,11.63,102.32,2.4
Total Common Shares Outstanding,13.5,13.02,12.15,11.85,10.8,102.32,2.4
Working Capital,341.58,247.21,251.28,272.15,31.57,45.17,52.64
Book Value Per Share,21.57,14.07,7.17,8.99,3.59,0.49,-7.02
Tangible Book Value,277.38,169.46,73.86,96.4,30.89,45.34,-18.97
Tangible Book Value Per Share,20.54,13.02,6.08,8.14,2.86,0.44,-7.89
Machinery,-,1.19,1.23,1.05,0.68,0.3,0.09
Leasehold Improvements,-,1.19,1.18,0.71,0.38,0.43,0.4
