Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"1,977","2,069","1,398",863,915,862,"1,029",-,-,-
Market Cap Growth,8.58%,48.05%,61.99%,-5.75%,6.25%,-16.29%,-,-,-,-
Enterprise Value,"2,059","2,134","1,543","1,048","1,116","1,049","1,248",-,-,-
Last Close Price,19.81,19.73,13.91,9.20,9.89,10.00,16.57,-,-,-
PE Ratio,27.71,28.40,-,16.23,-,-,-,-,-,-
Forward PE,17.08,20.63,18.95,22.21,-,-,33.02,-,-,-
PS Ratio,2.20,2.31,1.76,1.58,6.36,7.13,1.83,-,-,-
PB Ratio,3.65,3.73,3.22,2.36,3.12,2.69,1.74,-,-,-
P/TBV Ratio,56.41,84.58,-,-,-,-,-,-,-,-
P/FCF Ratio,29.82,28.72,24.11,43.27,-,-,-,-,-,-
P/OCF Ratio,24.85,26.26,22.05,34.84,-,-,1841.21,-,-,-
PEG Ratio,-,1.35,1.35,1.35,1.35,1.35,1.35,-,-,-
EV/Sales Ratio,2.20,2.38,1.94,1.92,7.75,8.67,2.22,-,-,-
EV/EBITDA Ratio,18.57,20.71,19.52,27.95,-,-,30.03,-,-,-
EV/EBIT Ratio,23.99,27.10,27.07,69.22,-,-,62.52,-,-,-
EV/FCF Ratio,30.84,29.61,26.62,52.56,-,-,-,-,-,-
Debt / Equity Ratio,0.18,0.20,0.39,0.62,0.79,0.73,0.38,-2.76,-,-
Debt / EBITDA Ratio,0.82,1.00,1.91,4.92,-,-,5.33,6.02,-,-
Debt / FCF Ratio,1.47,1.57,2.94,11.39,-,-,-,12.86,-,-
Asset Turnover,1.28,1.23,1.12,0.78,0.21,0.15,0.94,2.00,-,-
Inventory Turnover,15.28,16.58,16.12,14.38,5.78,4.85,15.19,16.64,-,-
Quick Ratio,0.92,1.31,0.88,0.99,0.97,1.20,0.87,0.94,0.86,-
Current Ratio,1.84,2.03,1.57,1.70,1.72,2.22,1.76,1.87,1.70,-
Return on Equity (ROE),13.53%,14.74%,-0.74%,16.12%,-22.29%,-63.20%,-24.50%,28.13%,-,-
Return on Assets (ROA),7.32%,6.78%,5.01%,1.35%,-4.68%,-5.12%,2.08%,11.24%,-,-
Return on Capital (ROIC),8.23%,7.74%,5.95%,1.69%,-6.02%,-6.09%,2.41%,13.47%,-,-
Return on Capital Employed (ROCE),13.20%,11.80%,9.10%,2.30%,-8.20%,-10.00%,2.30%,21.10%,16.70%,-
Earnings Yield,3.71%,3.52%,-0.21%,6.16%,-7.49%,-33.42%,-5.90%,-,-,-
FCF Yield,3.35%,3.48%,4.15%,2.31%,-4.15%,-4.49%,-0.28%,-,-,-
Dividend Yield,1.03%,0.41%,-,-,-,-,-,-,-,-
Payout Ratio,24.30%,11.43%,-,-,-,-,-,158.71%,195.69%,472.04%
Buyback Yield / Dilution,-0.75%,-7.27%,-2.86%,-5.51%,-21.21%,-21.66%,0.00%,-,-,-
Total Shareholder Return,0.27%,-6.87%,-2.86%,-5.51%,-21.21%,-21.66%,-,-,-,-
