Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,936.08,895.02,794.05,546.26,144.03,120.93,562.23,540.78,506.69,476.28
Revenue Growth (YoY),7.27%,12.72%,45.36%,279.26%,19.11%,-78.49%,3.97%,6.73%,6.38%,-
Cost of Revenue,815.01,781.19,703.81,498.52,163.74,153.37,519.02,478.8,455.64,438.71
Gross Profit,121.08,113.83,90.24,47.74,-19.71,-32.45,43.21,61.98,51.04,37.57
"Selling, General & Admin",18.69,18.53,16.4,15.78,15.53,17.34,9.32,9.94,9.22,10.43
Amortization of Goodwill & Intangibles,16.54,16.57,16.82,16.82,16.83,16.82,13.93,3.52,3.52,3.52
Operating Expenses,35.23,35.11,33.22,32.6,32.36,34.16,23.25,13.46,12.74,13.95
Operating Income,85.85,78.73,57.01,15.14,-52.06,-66.61,19.96,48.52,38.3,23.62
Interest Expense,-6.3,-10.05,-21.4,-15.76,-13.49,-14.7,-19.84,-34.1,-,-
Interest & Investment Income,1.17,1.17,0.28,-,0.06,0.03,0.04,0.24,0.41,0.34
Other Non Operating Income (Expenses),-,7.68,-37.56,54.4,-2.6,-7.49,-19.7,0.17,-0.22,-0.18
EBT Excluding Unusual Items,80.72,77.53,-1.66,53.78,-68.09,-88.77,-19.54,14.83,38.49,23.78
Merger & Restructuring Charges,-0.67,-0.67,-0.71,-,-,-1.62,-33.78,-,-,-
Impairment of Goodwill,-,-,-,-,-,-190.1,-,-,-,-
Asset Writedown,-0.18,-,-2.13,-,-,-6.68,-,-,-,-
Other Unusual Items,-2.5,-,-,-,-,-,-3.41,-,-,-
Pretax Income,77.37,76.86,-4.5,53.78,-68.09,-287.16,-56.73,14.83,38.49,23.78
Income Tax Expense,3.42,3.99,-1.53,0.62,0.43,0.81,-0.01,1.09,5.26,5.62
Earnings From Continuing Operations,73.94,72.86,-2.97,53.16,-68.52,-287.98,-56.72,13.74,33.23,18.16
Minority Interest in Earnings,-,-,-,-,-,-,-4.01,-3.86,-2.11,-3.26
Net Income,73.94,72.86,-2.97,53.16,-68.52,-287.98,-60.73,9.89,31.12,14.9
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-25.46,-,-,-
Net Income to Common,73.94,72.86,-2.97,53.16,-68.52,-287.98,-35.27,9.89,31.12,14.9
Net Income Growth,44.50%,-,-,-,-,-,-,-68.23%,108.80%,-
Shares Outstanding (Basic),104,104,98,93,90,74,61,61,-,-
Shares Outstanding (Diluted),104,105,98,95,90,74,61,61,-,-
Shares Change (YoY),0.75%,7.27%,2.86%,5.51%,21.21%,21.66%,-,-,-,-
EPS (Basic),0.71,0.70,-0.03,0.57,-0.76,-3.87,-0.58,0.16,-,-
EPS (Diluted),0.70,0.69,-0.03,0.49,-0.76,-3.87,-0.58,0.16,-,-
Free Cash Flow,66.78,72.06,57.96,19.94,-37.97,-38.68,-2.87,27.4,67.44,73.57
Free Cash Flow Per Share,0.64,0.69,0.59,0.21,-0.42,-0.52,-0.05,0.45,-,-
Dividend Per Share,0.160,0.080,-,-,-,-,-,-,-,-
Gross Margin,12.93%,12.72%,11.36%,8.74%,-13.68%,-26.83%,7.69%,11.46%,10.07%,7.89%
Operating Margin,9.17%,8.80%,7.18%,2.77%,-36.14%,-55.08%,3.55%,8.97%,7.56%,4.96%
Profit Margin,7.90%,8.14%,-0.38%,9.73%,-47.57%,-238.15%,-6.27%,1.83%,6.14%,3.13%
Free Cash Flow Margin,7.13%,8.05%,7.30%,3.65%,-26.36%,-31.99%,-0.51%,5.07%,13.31%,15.45%
EBITDA,110.87,103.01,79.05,37.49,-29.59,-42.16,41.55,58.58,48.13,36.5
EBITDA Margin,11.84%,11.51%,9.96%,6.86%,-20.54%,-34.86%,7.39%,10.83%,9.50%,7.66%
D&A For EBITDA,25.03,24.28,22.04,22.35,22.47,24.45,21.6,10.06,9.83,12.88
EBIT,85.85,78.73,57.01,15.14,-52.06,-66.61,19.96,48.52,38.3,23.62
EBIT Margin,9.17%,8.80%,7.18%,2.77%,-36.14%,-55.08%,3.55%,8.97%,7.56%,4.96%
Effective Tax Rate,4.42%,5.19%,-,1.16%,-,-,-,7.34%,13.67%,23.61%
Revenue as Reported,936.08,895.02,794.05,546.26,144.03,120.93,562.23,540.78,506.69,476.28
Advertising Expenses,-,3.3,3.8,2.1,1.5,2.4,3,3.7,2.9,2.6
