Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,668.5,627.24,573.13,439.87,408.55,424.5,417.05,384.47,284.56,240.62,198.57
Interest Income on Investments,143.15,147.29,132.12,78.07,34.9,35.66,50.77,37.36,20.54,14,14.3
Total Interest Income,811.64,774.53,705.24,517.94,443.45,460.16,467.83,421.82,305.1,254.62,212.87
Interest Paid on Deposits,280.31,318.42,219.98,40.82,27.11,57.86,86.26,53.14,28.79,22.32,18.87
Interest Paid on Borrowings,8.63,13.5,27.49,15.76,13.98,22.15,23.22,27.61,15.19,13.42,13.57
Total Interest Expense,288.94,331.92,247.46,56.57,41.08,80.02,109.47,80.75,43.98,35.74,32.43
Net Interest Income,522.7,442.61,457.78,461.37,402.37,380.14,358.36,341.07,261.12,218.88,180.44
Net Interest Income Growth (YoY),20.92%,-3.31%,-0.78%,14.66%,5.85%,6.08%,5.07%,30.62%,19.30%,21.30%,23.81%
Trust Income,56.77,50.49,47.79,44.25,-,-,-,-,-,-,-
Mortgage Banking Activities,48.32,46.96,39.42,47.15,109.3,112.17,66.81,65.1,75.85,58.79,34.21
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,1.93
Gain (Loss) on Sale of Investments,2.21,0.31,9.38,-,1.22,27.26,-0.85,0,-0,0.01,0.9
Gain (Loss) on Sale of Equity Investments,1.24,1.24,-0.97,0.56,1.33,2.1,0.7,0.67,0.84,0.91,0.54
Other Non-Interest Income,139.87,132.77,122.39,116.82,150.48,129.47,123.63,108.54,95.83,81.46,67.94
Total Non-Interest Income,269.61,251.15,236.34,225.57,277.96,284.19,205.59,191.59,188.12,155.22,117.28
Non-Interest Income Growth (YoY),12.40%,6.26%,4.78%,-18.85%,-2.19%,38.23%,7.31%,1.85%,21.20%,32.35%,21.25%
Revenues Before Loan Losses,792.31,693.75,694.12,686.94,680.33,664.34,563.94,532.67,449.24,374.1,297.73
Provision for Loan Losses,25.71,-0.55,18.68,8.61,-16.77,67.18,9.37,8.54,5.43,5.36,3.03
Revenue,766.6,694.3,675.44,678.33,697.1,597.16,554.57,524.13,443.82,368.74,294.7
Revenue Growth (YoY),14.10%,2.79%,-0.43%,-2.69%,16.74%,7.68%,5.81%,18.09%,20.36%,25.12%,21.79%
Salaries and Employee Benefits,297.62,281.38,263.14,250.41,240.21,230.2,213.58,197.77,166.74,140.44,112.04
Amortization of Goodwill & Intangibles,14.53,12.77,14.16,10.62,11.13,11.5,12.37,11.71,7.66,-,-
"Selling, General & Administrative",138.14,139.39,128.46,113.82,105.21,97.23,99.84,86.69,76.14,45.64,38.42
Other Non-Interest Expense,74.86,69.04,73.88,65.37,59.71,56.97,51.86,47.53,43.41,62.64,50.39
Total Non-Interest Expense,525.14,502.57,479.63,440.21,416.25,395.89,377.65,343.7,293.95,248.72,200.85
EBT Excluding Unusual Items,241.46,191.72,195.82,238.12,280.85,201.27,176.93,180.43,149.87,120.02,93.85
Pretax Income,204.22,190.38,186.22,237.05,279.83,201.33,176.27,172,147.6,100.91,92.54
Income Tax Expense,33.33,27.65,31.09,46.58,54.8,31.9,32.6,34.23,54.81,28.7,26.88
Earnings From Continuing Operations,170.89,162.73,155.14,190.47,225.03,169.43,143.67,137.77,92.79,72.22,65.67
Minority Interest in Earnings,-1.22,-0.98,-1.42,-1.48,-9.65,-23.9,-4.89,-3.98,-5.13,-4.97,-3.28
Net Income,169.67,161.76,153.72,188.99,215.38,145.54,138.78,133.79,87.66,67.25,62.38
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,0.01
Net Income to Common,169.67,161.76,153.72,188.99,215.38,145.54,138.78,133.79,87.66,67.25,62.37
Net Income Growth,13.65%,5.23%,-18.66%,-12.26%,47.99%,4.87%,3.73%,52.62%,30.35%,7.80%,47.93%
Basic Shares Outstanding,75,75,75,73,72,72,72,71,62,57,51
Diluted Shares Outstanding,76,75,75,73,73,72,72,71,62,57,51
Shares Change (YoY),1.15%,0.67%,2.87%,0.02%,0.30%,0.22%,1.26%,14.26%,9.50%,11.38%,45.31%
EPS (Basic),2.25,2.16,2.06,2.60,2.97,2.01,1.93,1.88,1.41,1.18,1.22
EPS (Diluted),2.23,2.15,2.06,2.60,2.97,2.01,1.92,1.88,1.41,1.18,1.22
EPS Growth,11.95%,4.41%,-20.80%,-12.46%,47.76%,4.69%,2.13%,33.33%,19.49%,-3.28%,3.60%
Dividend Per Share,1.040,1.000,0.980,0.890,0.780,0.720,0.700,0.620,0.550,0.510,0.470
Dividend Growth,4.00%,2.04%,10.11%,14.10%,8.33%,2.86%,12.90%,12.73%,7.84%,8.51%,9.30%
Effective Tax Rate,16.32%,14.52%,16.69%,19.65%,19.58%,15.84%,18.49%,19.90%,37.14%,28.44%,29.04%
