Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"2,861","2,346","2,719","2,596","2,755",-,-,-
Market Cap Growth,30.33%,-13.72%,4.75%,-5.79%,-,-,-,-
Enterprise Value,"2,419","1,978","2,444","2,312","2,430",-,-,-
Last Close Price,23.22,19.55,23.03,22.71,25.87,-,-,-
PE Ratio,165.76,163.09,117.81,-,-,-,-,-
Forward PE,88.73,80.52,93.73,-,-,-,-,-
PS Ratio,1.38,1.35,1.64,1.91,2.85,-,-,-
PB Ratio,4.02,3.43,4.48,5.00,6.12,-,-,-
P/TBV Ratio,7.73,6.11,8.63,8.25,11.52,-,-,-
P/FCF Ratio,25.78,21.47,33.66,55.00,50.54,-,-,-
P/OCF Ratio,25.78,21.47,33.66,55.00,50.04,-,-,-
EV/Sales Ratio,1.18,1.14,1.47,1.70,2.52,-,-,-
EV/EBITDA Ratio,64.86,81.55,89.91,-,-,-,-,-
EV/EBIT Ratio,85.75,116.45,118.36,-,-,-,-,-
EV/FCF Ratio,21.85,18.10,30.25,48.99,44.58,-,-,-
Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.10,0.23,0.40,0.78
Debt / EBITDA Ratio,0.16,0.21,0.28,-,-,1.24,2.46,20.76
Debt / FCF Ratio,0.06,0.05,0.10,0.24,0.85,0.87,2.31,13.32
Asset Turnover,1.64,1.63,1.85,1.83,1.90,2.73,3.03,-
Quick Ratio,1.61,1.80,1.76,2.03,2.30,1.25,1.08,1.09
Current Ratio,1.67,1.86,1.81,2.09,2.35,1.29,1.13,1.14
Return on Equity (ROE),3.44%,2.64%,3.73%,-2.49%,-64.21%,24.61%,8.21%,-
Return on Assets (ROA),1.41%,0.99%,1.44%,-1.62%,-26.77%,5.29%,3.86%,-
Return on Capital (ROIC),2.45%,1.63%,2.25%,-2.33%,-40.33%,9.68%,6.61%,-
Return on Capital Employed (ROCE),3.70%,2.50%,3.40%,-3.60%,-43.80%,13.90%,10.40%,1.50%
Earnings Yield,0.64%,0.61%,0.85%,-0.33%,-6.83%,-,-,-
FCF Yield,3.88%,4.66%,2.97%,1.82%,1.98%,-,-,-
Buyback Yield / Dilution,-2.01%,-0.74%,-12.64%,-7.52%,-7.30%,-0.02%,-0.05%,-
