Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Revenue,"2,043","1,736","1,658","1,357",966.22,817.08,786.36,657.61
Revenue Growth (YoY),19.01%,4.75%,22.19%,40.41%,18.25%,3.91%,19.58%,-
Cost of Revenue,"1,835","1,560","1,496","1,222",902.56,734.49,717.89,601.15
Gross Profit,207.74,176.85,161.5,134.78,63.66,82.58,68.47,56.46
"Selling, General & Admin",170.46,152.6,134.32,149.33,278.63,55.36,50.98,53.23
Operating Expenses,179.54,159.87,140.85,153.9,281.1,57.2,52.41,54.3
Operating Income,28.21,16.98,20.65,-19.12,-217.44,25.38,16.06,2.16
Interest Expense,-,-,-,-,-1.07,-1.92,-6.91,-6.42
Interest & Investment Income,10.38,10.89,8.37,0.54,-,-,-,-
Pretax Income,38.59,27.87,29.02,-18.58,-218.51,23.46,9.15,-4.27
Income Tax Expense,14.08,10.83,7.99,-6.52,-27.86,-7.44,1.21,-0.08
Earnings From Continuing Operations,24.51,17.04,21.03,-12.06,-190.65,30.9,7.95,-4.19
Minority Interest in Earnings,-6.34,-2.66,2.05,3.48,2.42,0.34,0.3,1.15
Net Income,18.17,14.39,23.08,-8.59,-188.23,31.24,8.24,-3.04
Net Income to Common,18.17,14.39,23.08,-8.59,-188.23,31.24,8.24,-3.04
Net Income Growth,41.66%,-37.67%,-,-,-,278.99%,-,-
Shares Outstanding (Basic),121,119,117,111,103,96,96,96
Shares Outstanding (Diluted),128,126,125,111,103,96,96,96
Shares Change (YoY),2.01%,0.74%,12.64%,7.52%,7.30%,0.02%,0.05%,-
EPS (Basic),0.15,0.12,0.20,-0.08,-1.83,0.33,0.09,-0.03
EPS (Diluted),0.14,0.11,0.19,-0.08,-1.83,0.33,0.09,-0.03
EPS Growth,29.88%,-42.10%,-,-,-,278.92%,-,-
Free Cash Flow,110.7,109.28,80.79,47.2,54.51,38.51,18.65,5.03
Free Cash Flow Per Share,0.87,0.87,0.65,0.43,0.53,0.40,0.19,0.05
Gross Margin,10.17%,10.18%,9.74%,9.93%,6.59%,10.11%,8.71%,8.58%
Operating Margin,1.38%,0.98%,1.25%,-1.41%,-22.50%,3.11%,2.04%,0.33%
Profit Margin,0.89%,0.83%,1.39%,-0.63%,-19.48%,3.82%,1.05%,-0.46%
Free Cash Flow Margin,5.42%,6.29%,4.87%,3.48%,5.64%,4.71%,2.37%,0.77%
EBITDA,37.29,24.25,27.18,-14.55,-214.97,27.21,17.49,3.23
EBITDA Margin,1.82%,1.40%,1.64%,-1.07%,-22.25%,3.33%,2.22%,0.49%
D&A For EBITDA,9.08,7.27,6.53,4.57,2.46,1.83,1.43,1.07
EBIT,28.21,16.98,20.65,-19.12,-217.44,25.38,16.06,2.16
EBIT Margin,1.38%,0.98%,1.25%,-1.41%,-22.50%,3.11%,2.04%,0.33%
Effective Tax Rate,36.49%,38.84%,27.54%,-,-,-,13.19%,-
Advertising Expenses,-,-,-,-,-,-,1,0.9
