Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"5,454","4,822","4,335","4,459","4,089","2,787","3,046","2,825","2,435","1,897","1,722"
Revenue Growth (YoY),19.71%,11.23%,-2.79%,9.06%,46.73%,-8.50%,7.80%,16.02%,28.39%,10.15%,8.83%
Cost of Revenue,"3,270","2,900","2,597","2,749","2,520","1,765","1,960","1,818","1,586","1,180","1,044"
Gross Profit,"2,184","1,922","1,738","1,710","1,569","1,022","1,086","1,008",849.34,716.95,677.55
"Selling, General & Admin","1,541","1,339","1,185","1,096","1,023",718.98,744.87,705.8,614.04,522.3,502.48
Amortization of Goodwill & Intangibles,180.18,155.36,147.93,128.74,99.22,86.56,61.27,48.16,26.66,21.29,17.01
Operating Expenses,"1,796","1,561","1,388","1,274","1,168",844.88,839.54,784.53,667.03,567.22,541.1
Operating Income,387.98,361.41,350.31,436.47,401.44,176.66,246.73,223.37,182.3,149.73,136.45
Interest Expense,-83.94,-85.78,-94.08,-48.59,-31.82,-30.95,-29.45,-20.85,-11.9,-9.19,-9.04
Earnings From Equity Investments,11.22,7.27,5.08,6.68,6.19,2.92,2.07,1.32,0.92,0.89,0.73
Other Non Operating Income (Expenses),2.61,-0.13,0.74,-1.03,5.08,-0.01,-0.32,-0.21,-0.11,0.46,-
EBT Excluding Unusual Items,317.86,282.77,262.05,393.53,380.89,148.62,219.02,203.64,171.22,141.9,128.14
Merger & Restructuring Charges,-30.7,27.8,-47.1,-77.14,-61.01,-45.85,-28.53,-21.98,-14.93,-3.56,-6.6
Gain (Loss) on Sale of Investments,0.54,0.54,0.1,-,-,-,0.11,0.17,-0.31,1.06,-
Gain (Loss) on Sale of Assets,-0.41,-,-2.28,-26.83,-,-,-,-,-,-,0.01
Other Unusual Items,-,-,-,-,-471.93,33.77,-,-,-,-,-49.08
Pretax Income,287.29,311.11,212.78,289.55,-152.05,136.54,190.6,181.83,155.98,139.4,72.47
Income Tax Expense,67.78,74.18,68.09,95.01,85.51,42.05,53.01,53.26,61.91,47.83,32.55
Earnings From Continuing Operations,219.52,236.94,144.69,194.54,-237.56,94.49,137.59,128.57,94.07,91.57,39.92
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,1.1
Net Income to Company,219.52,236.94,144.69,194.54,-237.56,94.49,137.59,128.57,94.07,91.57,41.02
Minority Interest in Earnings,-102.42,-75.21,-79.15,-148.29,-152.78,-45.42,-34.68,-30.92,-42.71,-23.61,-17.67
Net Income,117.1,161.73,65.54,46.25,-390.34,49.07,102.9,97.66,51.36,67.97,23.35
Net Income to Common,117.1,161.73,65.54,46.25,-390.34,49.07,102.9,97.66,51.36,67.97,23.35
Net Income Growth,-23.98%,146.75%,41.70%,-,-,-52.31%,5.37%,90.14%,-24.43%,191.11%,-46.10%
Shares Outstanding (Basic),51,50,46,43,43,40,40,39,39,39,37
Shares Outstanding (Diluted),51,50,46,44,43,40,40,40,39,39,38
Shares Change (YoY),2.42%,8.45%,5.36%,2.33%,6.82%,0.50%,0.47%,1.24%,1.13%,3.41%,3.52%
EPS (Basic),2.31,3.24,1.43,1.07,-9.09,1.23,2.60,2.49,1.32,1.76,0.63
EPS (Diluted),2.30,3.22,1.41,1.05,-9.09,1.22,2.57,2.45,1.31,1.75,0.62
EPS Growth,-25.96%,127.75%,34.65%,-,-,-52.53%,4.90%,87.02%,-25.14%,182.54%,-48.20%
Free Cash Flow,221.32,260.92,81.14,-0.65,231.03,126.13,266.56,221.91,173.38,131.22,134.72
Free Cash Flow Per Share,4.35,5.20,1.75,-0.01,5.38,3.14,6.67,5.58,4.41,3.38,3.58
Dividend Per Share,0.300,0.300,0.300,0.300,0.200,0.100,0.100,0.100,0.100,0.100,0.140
Dividend Growth,-,-,-,50.00%,100.00%,-,-,-,-,-28.57%,-65.00%
Gross Margin,40.05%,39.86%,40.10%,38.34%,38.38%,36.66%,35.66%,35.67%,34.88%,37.80%,39.35%
Operating Margin,7.11%,7.50%,8.08%,9.79%,9.82%,6.34%,8.10%,7.91%,7.49%,7.89%,7.92%
Profit Margin,2.15%,3.35%,1.51%,1.04%,-9.55%,1.76%,3.38%,3.46%,2.11%,3.58%,1.36%
Free Cash Flow Margin,4.06%,5.41%,1.87%,-0.01%,5.65%,4.53%,8.75%,7.85%,7.12%,6.92%,7.82%
EBITDA,642.65,583.01,552.85,613.9,546.53,302.56,341.39,302.1,235.3,194.66,175.07
EBITDA Margin,11.78%,12.09%,12.75%,13.77%,13.36%,10.86%,11.21%,10.69%,9.66%,10.26%,10.17%
D&A For EBITDA,254.67,221.6,202.54,177.42,145.09,125.91,94.66,78.73,52.99,44.92,38.62
EBIT,387.98,361.41,350.31,436.47,401.44,176.66,246.73,223.37,182.3,149.73,136.45
EBIT Margin,7.11%,7.50%,8.08%,9.79%,9.82%,6.34%,8.10%,7.91%,7.49%,7.89%,7.92%
Effective Tax Rate,23.59%,23.84%,32.00%,32.81%,-,30.80%,27.81%,29.29%,39.69%,34.31%,44.92%
