Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 29, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Jan '22Jan 2, 2022","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"1,578","2,125","2,101","1,954","3,962",-,-
Market Cap Growth,-6.99%,1.17%,7.48%,-50.68%,-,-,-
Enterprise Value,"1,570","2,124","1,905","1,614","3,633",-,-
Last Close Price,7.45,11.28,12.52,12.44,27.28,-,-
PS Ratio,47.05,92.10,274.80,315.12,-,-,-
PB Ratio,5.32,8.52,8.05,5.48,12.15,-,-
P/TBV Ratio,6.37,10.73,10.30,5.48,12.15,-,-
EV/Sales Ratio,51.87,92.06,249.18,260.31,-,-,-
Debt / Equity Ratio,1.83,0.78,0.73,0.02,0.03,-,1.52
Asset Turnover,0.04,0.04,0.02,0.01,-,-,-
Inventory Turnover,2.22,3.06,13.46,-,-,-,-
Quick Ratio,9.30,5.17,5.04,14.27,18.94,2.70,9.97
Current Ratio,9.72,5.49,5.30,14.31,19.29,3.04,10.33
Return on Equity (ROE),-68.05%,-87.18%,-69.35%,-15.13%,-69.48%,-198.63%,-
Return on Assets (ROA),-17.20%,-23.00%,-24.01%,-17.20%,-15.87%,-36.05%,-
Return on Capital (ROIC),-19.40%,-28.01%,-29.55%,-22.69%,-23.40%,-64.54%,-
Return on Capital Employed (ROCE),-22.00%,-42.40%,-38.40%,-30.40%,-15.10%,-43.50%,-105.90%
Earnings Yield,-10.04%,-10.46%,-10.19%,-2.64%,-3.18%,-,-
FCF Yield,-7.43%,-8.70%,-7.92%,-6.09%,-2.40%,-,-
Buyback Yield / Dilution,-7.22%,-9.69%,-3.52%,-31.51%,-45.85%,-39.20%,-
