Period Ending,"Sep '25Sep 28, 2025","Dec '24Dec 29, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Jan '22Jan 2, 2022","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Revenue,30.27,23.07,7.64,6.2,-,-,-
Revenue Growth (YoY),45.98%,201.86%,23.25%,-,-,-,-
Cost of Revenue,27.52,25.12,63.06,23.24,1.97,3.38,0.16
Gross Profit,2.76,-2.05,-55.42,-17.04,-1.97,-3.38,-0.16
"Selling, General & Admin",67.15,74.31,59.81,51.97,29.71,5.71,4.2
Research & Development,122.99,124.51,77.79,58.05,37.85,14.44,12.15
Operating Expenses,190.14,198.82,137.61,110.02,67.56,20.16,16.35
Operating Income,-187.38,-200.86,-193.02,-127.06,-69.52,-23.53,-16.51
Interest Expense,-16.91,-6.79,-4.46,-,-0.19,-0.11,-0.02
Interest & Investment Income,9.99,12.33,14.07,5.23,0.04,-,-
Other Non Operating Income (Expenses),8.23,13.2,5.88,75.13,-56.2,-15.22,0.35
EBT Excluding Unusual Items,-186.07,-182.12,-177.53,-46.7,-125.87,-38.86,-16.19
Merger & Restructuring Charges,19.6,-41.81,-4.32,-,-,-,-
Asset Writedown,-,-,-4.41,-4.92,-,-,-
Other Unusual Items,7.16,-,-28.5,-,-,-0.79,-
Pretax Income,-159.31,-223.93,-214.77,-51.62,-125.87,-39.65,-16.19
Income Tax Expense,-0.29,-1.39,-0.63,-,-,-,-
Earnings From Continuing Operations,-159.02,-222.53,-214.13,-51.62,-125.87,-39.65,-16.19
Minority Interest in Earnings,-0.2,0.29,0.06,-,-,-,-
Net Income,-159.22,-222.24,-214.07,-51.62,-125.87,-39.65,-16.19
Net Income to Common,-159.22,-222.24,-214.07,-51.62,-125.87,-39.65,-16.19
Shares Outstanding (Basic),191,175,159,153,117,80,58
Shares Outstanding (Diluted),191,175,160,154,117,80,58
Shares Change (YoY),7.22%,9.69%,3.52%,31.51%,45.85%,39.20%,-
EPS (Basic),-0.83,-1.27,-1.35,-0.34,-1.07,-0.49,-0.28
EPS (Diluted),-0.83,-1.27,-1.38,-0.82,-1.07,-0.49,-0.28
Free Cash Flow,-117.82,-184.82,-166.43,-118.95,-94.89,-47,-12.63
Free Cash Flow Per Share,-0.62,-1.06,-1.04,-0.77,-0.81,-0.58,-0.22
Gross Margin,9.10%,-8.86%,-,-274.70%,-,-,-
Operating Margin,-618.97%,-870.51%,-2525.16%,-2048.66%,-,-,-
Profit Margin,-525.93%,-963.17%,-2800.51%,-832.34%,-,-,-
Free Cash Flow Margin,-389.20%,-800.99%,-2177.28%,-1917.96%,-,-,-
EBITDA,-134.76,-155.9,-159.01,-119.09,-68.01,-22.95,-16
D&A For EBITDA,52.62,44.96,34.01,7.97,1.52,0.58,0.51
EBIT,-187.38,-200.86,-193.02,-127.06,-69.52,-23.53,-16.51
