Period Ending,"Sep '25Sep 28, 2025","Dec '24Dec 29, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Jan '22Jan 2, 2022","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,335.5,272.87,233.12,322.85,385.29,29.14,10.23
Short-Term Investments,223.32,-,73.69,-,-,-,-
Cash & Short-Term Investments,558.82,272.87,306.82,322.85,385.29,29.14,10.23
Cash Growth,178.14%,-11.06%,-4.97%,-16.21%,1222.08%,184.99%,-
Accounts Receivable,4.63,4.57,0.91,0.17,-,-,-
Other Receivables,-,-,-,5.7,5.6,0.2,-
Receivables,7.04,4.57,2.42,5.87,5.6,0.2,-
Inventory,15.22,7.66,8.74,0.63,-,-,-
Prepaid Expenses,7.55,9.9,5.2,0.19,2.55,0.67,0.29
Restricted Cash,-,-,-,0.1,0.13,0.08,0.08
Other Current Assets,-,-,-,-,4.55,2.96,-
Total Current Assets,588.63,295.01,323.18,329.65,398.12,33.04,10.6
"Property, Plant & Equipment",186.36,181.43,181.76,110,83.28,31.29,4.92
Goodwill,12.22,12.22,12.1,-,-,-,-
Other Intangible Assets,32.83,36.39,42.17,-,-,-,-
Long-Term Deferred Charges,-,-,-,-,-,0.5,0.97
Other Long-Term Assets,4.22,2.13,5.1,0.94,1.16,0.14,0.14
Total Assets,913.71,527.17,564.3,440.59,482.57,64.96,16.61
Accounts Payable,21.31,9.49,21.25,7.08,3.14,2.08,0.26
Accrued Expenses,16.14,28.07,24.71,15.19,11.21,3.27,0.67
Short-Term Debt,9.91,9.45,5.92,-,-,-,-
Current Portion of Leases,2.87,2.65,-,-,-,-,-
Current Unearned Revenue,7.69,3.65,6.71,0.05,5.58,5.41,-
Other Current Liabilities,2.41,0.39,2.44,0.72,0.71,0.11,0.1
Total Current Liabilities,60.57,53.7,61.02,23.03,20.64,10.87,1.03
Long-Term Debt,518.35,169.82,169.1,-,-,-,5.65
Long-Term Leases,11.41,13.29,15.59,8.23,9.07,-,-
Long-Term Unearned Revenue,0.3,3.77,3.77,3.72,2.29,0.09,5.31
Long-Term Deferred Tax Liabilities,9.33,8.78,10.8,-,-,-,-
Other Long-Term Liabilities,16.65,28.39,42.91,49.17,124.45,17.8,0.92
Total Liabilities,616.61,277.77,303.2,84.16,156.45,28.75,12.91
Common Stock,0.02,0.02,0.02,0.02,0.02,0.01,0.06
Additional Paid-In Capital,"1,296","1,068",857.04,741.19,659.25,243.48,40.63
Retained Earnings,-942.84,-821.09,-598.85,-384.77,-333.15,-207.28,-167.63
Comprehensive Income & Other,-0.66,-0.14,-0.06,-,-,-,-
Total Common Equity,294.26,246.74,258.15,356.43,326.12,36.22,-126.94
Minority Interest,2.85,2.66,2.96,-,-,-,-
Shareholders' Equity,297.1,249.4,261.1,356.43,326.12,36.22,3.71
Total Liabilities & Equity,913.71,527.17,564.3,440.59,482.57,64.96,16.61
Total Debt,542.78,195.21,190.61,8.23,9.07,-,5.65
Net Cash (Debt),16.03,77.66,116.21,314.62,376.22,29.14,4.58
Net Cash Growth,343.05%,-33.17%,-63.07%,-16.38%,1190.95%,537.00%,-
Net Cash Per Share,0.08,0.44,0.73,2.04,3.21,0.36,0.08
Filing Date Shares Outstanding,210.38,191.27,168.5,157.78,156.48,93.99,57.74
Total Common Shares Outstanding,209.93,190.56,167.39,157.46,152.27,93.99,57.74
Working Capital,528.06,241.31,262.16,306.62,377.49,22.18,9.57
Book Value Per Share,1.40,1.29,1.54,2.26,2.14,0.39,-2.20
Tangible Book Value,249.21,198.13,203.88,356.43,326.12,36.22,-126.94
Tangible Book Value Per Share,1.19,1.04,1.22,2.26,2.14,0.39,-2.20
Land,5.17,1.43,1.43,-,-,-,-
Buildings,41.95,33.66,36.65,24.57,-,-,-
Machinery,151.55,134.87,103.79,58.05,8.19,4.52,3.36
Construction In Progress,18.29,18.99,68.96,33.27,71.13,29.57,3.77
Leasehold Improvements,-,-,-,-,1.88,0.92,0.92
